epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
139,4024.07,1.22379,0.70347,0.99168,0.8915,0.57692,0.66413,0.37499,1.89093,1.61015,1.83069,0.000157183,0.000157183,0.000157183
140,4054.08,1.21672,0.70456,0.99336,0.88276,0.57308,0.67018,0.37586,1.88119,1.64838,1.81011,0.000132204,0.000132204,0.000132204
141,4082.92,1.19666,0.69599,0.99019,0.88809,0.57993,0.66683,0.37613,1.86303,1.63246,1.79504,0.000109361,0.000109361,0.000109361
142,4111.24,1.21721,0.70082,0.99275,0.89264,0.58077,0.66631,0.38041,1.85052,1.62013,1.78529,8.86629e-05,8.86629e-05,8.86629e-05
143,4141.11,1.19549,0.69757,0.98466,0.89323,0.58077,0.66898,0.37993,1.85096,1.63028,1.78242,7.01191e-05,7.01191e-05,7.01191e-05
144,4168.79,1.19636,0.69632,0.99083,0.89235,0.57389,0.66964,0.37994,1.85998,1.6555,1.79127,5.37378e-05,5.37378e-05,5.37378e-05
145,4196.7,1.19912,0.70018,0.98996,0.89004,0.57308,0.67102,0.37856,1.86602,1.66985,1.7949,3.95261e-05,3.95261e-05,3.95261e-05
146,4224.57,1.19986,0.69698,0.99107,0.8922,0.57297,0.67069,0.38046,1.87244,1.66834,1.8028,2.74902e-05,2.74902e-05,2.74902e-05
147,4252.28,1.19577,0.69649,0.99638,0.89169,0.56997,0.66756,0.37851,1.8691,1.68301,1.79584,1.76355e-05,1.76355e-05,1.76355e-05
148,4280.84,1.21304,0.70076,0.98868,0.89108,0.56923,0.66725,0.37859,1.86712,1.67129,1.79826,9.96626e-06,9.96626e-06,9.96626e-06
149,4308.11,1.20417,0.69355,0.98893,0.90256,0.56923,0.66721,0.37768,1.86635,1.67235,1.80035,4.48581e-06,4.48581e-06,4.48581e-06
150,4335.37,1.18019,0.68956,0.97621,0.91799,0.55967,0.66959,0.38159,1.85649,1.64586,1.79585,1.19657e-06,1.19657e-06,1.19657e-06
